"Metric name","Metric description","GeForce RTX 3090(0)","GeForce RTX 3090(1)"
"lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface","# of sectors requested for surface","1","1"
"lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface_op_atom","# of sectors requested for surface atomics","1","1"
"lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface_op_ld","# of sectors requested for surface loads","1","1"
"lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface_op_red","# of sectors requested for surface reductions","1","1"
"lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface_op_st","# of sectors requested for surface stores","1","1"
"lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_texture","# of sectors requested for texture","1","1"
"lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_texture_op_ld","# of sectors requested for TLD instructions","1","1"
"lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_texture_op_tex","# of sectors requested for TEX instructions","1","1"
"lts__t_sectors_lookup_hit","# of LTS sectors that hit","1","1"
"lts__t_sectors_lookup_miss","# of LTS sectors that missed","1","1"
"lts__t_sectors_op_atom","# of LTS sectors for all atomics","1","1"
"lts__t_sectors_op_atom_dot_alu","# of LTS sectors for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_op_atom_dot_alu_lookup_hit","# of LTS sectors for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_op_atom_dot_alu_lookup_miss","# of LTS sectors for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_op_atom_dot_cas","# of LTS sectors for atomic CAS","1","1"
"lts__t_sectors_op_atom_dot_cas_lookup_hit","# of LTS sectors for atomic CAS that hit","1","1"
"lts__t_sectors_op_atom_dot_cas_lookup_miss","# of LTS sectors for atomic CAS that missed","1","1"
"lts__t_sectors_op_atom_lookup_hit","# of LTS sectors for all atomics that hit","1","1"
"lts__t_sectors_op_atom_lookup_miss","# of LTS sectors for all atomics that missed","1","1"
"lts__t_sectors_op_membar","# of LTS sectors for memory barriers","1","1"
"lts__t_sectors_op_membar_lookup_hit","# of LTS sectors for memory barriers that hit","1","1"
"lts__t_sectors_op_membar_lookup_miss","# of LTS sectors for memory barriers that missed","1","1"
"lts__t_sectors_op_read","# of LTS sectors for reads","1","1"
"lts__t_sectors_op_read_lookup_hit","# of LTS sectors for reads that hit","1","1"
"lts__t_sectors_op_read_lookup_miss","# of LTS sectors for reads that missed","1","1"
"lts__t_sectors_op_red","# of LTS sectors for reductions","1","1"
"lts__t_sectors_op_red_lookup_hit","# of LTS sectors for reductions that hit","1","1"
"lts__t_sectors_op_red_lookup_miss","# of LTS sectors for reductions that missed","1","1"
"lts__t_sectors_op_write","# of LTS sectors for writes","1","1"
"lts__t_sectors_op_write_lookup_hit","# of LTS sectors for writes that hit","1","1"
"lts__t_sectors_op_write_lookup_miss","# of LTS sectors for writes that missed","1","1"
"lts__t_sectors_srcnode_gpc","# of LTS sectors from node GPC","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device","# of LTS sectors from node GPC accessing device memory (vidmem)","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_lookup_hit","# of LTS sectors from node GPC accessing device memory (vidmem) that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_lookup_miss","# of LTS sectors from node GPC accessing device memory (vidmem) that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_atom","# of LTS sectors from node GPC accessing device memory (vidmem) for all atomics","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_atom_dot_alu","# of LTS sectors from node GPC accessing device memory (vidmem) for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_atom_dot_alu_lookup_hit","# of LTS sectors from node GPC accessing device memory (vidmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_atom_dot_alu_lookup_miss","# of LTS sectors from node GPC accessing device memory (vidmem) for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_atom_dot_cas","# of LTS sectors from node GPC accessing device memory (vidmem) for atomic CAS","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_atom_dot_cas_lookup_hit","# of LTS sectors from node GPC accessing device memory (vidmem) for atomic CAS that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_atom_dot_cas_lookup_miss","# of LTS sectors from node GPC accessing device memory (vidmem) for atomic CAS that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_atom_lookup_hit","# of LTS sectors from node GPC accessing device memory (vidmem) for all atomics that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_atom_lookup_miss","# of LTS sectors from node GPC accessing device memory (vidmem) for all atomics that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_membar","# of LTS sectors from node GPC accessing device memory (vidmem) for memory barriers","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_membar_lookup_hit","# of LTS sectors from node GPC accessing device memory (vidmem) for memory barriers that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_membar_lookup_miss","# of LTS sectors from node GPC accessing device memory (vidmem) for memory barriers that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_read","# of LTS sectors from node GPC accessing device memory (vidmem) for reads","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_read_lookup_hit","# of LTS sectors from node GPC accessing device memory (vidmem) for reads that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_read_lookup_miss","# of LTS sectors from node GPC accessing device memory (vidmem) for reads that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_red","# of LTS sectors from node GPC accessing device memory (vidmem) for reductions","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_red_lookup_hit","# of LTS sectors from node GPC accessing device memory (vidmem) for reductions that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_red_lookup_miss","# of LTS sectors from node GPC accessing device memory (vidmem) for reductions that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_write","# of LTS sectors from node GPC accessing device memory (vidmem) for writes","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_write_lookup_hit","# of LTS sectors from node GPC accessing device memory (vidmem) for writes that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_device_op_write_lookup_miss","# of LTS sectors from node GPC accessing device memory (vidmem) for writes that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer","# of LTS sectors from node GPC accessing peer memory (peermem)","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_lookup_hit","# of LTS sectors from node GPC accessing peer memory (peermem) that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_lookup_miss","# of LTS sectors from node GPC accessing peer memory (peermem) that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_atom","# of LTS sectors from node GPC accessing peer memory (peermem) for all atomics","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_atom_dot_alu","# of LTS sectors from node GPC accessing peer memory (peermem) for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_atom_dot_alu_lookup_hit","# of LTS sectors from node GPC accessing peer memory (peermem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_atom_dot_alu_lookup_miss","# of LTS sectors from node GPC accessing peer memory (peermem) for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_atom_dot_cas","# of LTS sectors from node GPC accessing peer memory (peermem) for atomic CAS","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_atom_dot_cas_lookup_hit","# of LTS sectors from node GPC accessing peer memory (peermem) for atomic CAS that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_atom_dot_cas_lookup_miss","# of LTS sectors from node GPC accessing peer memory (peermem) for atomic CAS that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_atom_lookup_hit","# of LTS sectors from node GPC accessing peer memory (peermem) for all atomics that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_atom_lookup_miss","# of LTS sectors from node GPC accessing peer memory (peermem) for all atomics that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_membar","# of LTS sectors from node GPC accessing peer memory (peermem) for memory barriers","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_membar_lookup_hit","# of LTS sectors from node GPC accessing peer memory (peermem) for memory barriers that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_membar_lookup_miss","# of LTS sectors from node GPC accessing peer memory (peermem) for memory barriers that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_read","# of LTS sectors from node GPC accessing peer memory (peermem) for reads","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_read_lookup_hit","# of LTS sectors from node GPC accessing peer memory (peermem) for reads that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_read_lookup_miss","# of LTS sectors from node GPC accessing peer memory (peermem) for reads that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_red","# of LTS sectors from node GPC accessing peer memory (peermem) for reductions","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_red_lookup_hit","# of LTS sectors from node GPC accessing peer memory (peermem) for reductions that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_red_lookup_miss","# of LTS sectors from node GPC accessing peer memory (peermem) for reductions that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_write","# of LTS sectors from node GPC accessing peer memory (peermem) for writes","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_write_lookup_hit","# of LTS sectors from node GPC accessing peer memory (peermem) for writes that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_peer_op_write_lookup_miss","# of LTS sectors from node GPC accessing peer memory (peermem) for writes that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem","# of LTS sectors from node GPC accessing system memory (sysmem)","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_lookup_hit","# of LTS sectors from node GPC accessing system memory (sysmem) that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_lookup_miss","# of LTS sectors from node GPC accessing system memory (sysmem) that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_atom","# of LTS sectors from node GPC accessing system memory (sysmem) for all atomics","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_atom_dot_alu","# of LTS sectors from node GPC accessing system memory (sysmem) for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_atom_dot_alu_lookup_hit","# of LTS sectors from node GPC accessing system memory (sysmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_atom_dot_alu_lookup_miss","# of LTS sectors from node GPC accessing system memory (sysmem) for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_atom_dot_cas","# of LTS sectors from node GPC accessing system memory (sysmem) for atomic CAS","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_atom_dot_cas_lookup_hit","# of LTS sectors from node GPC accessing system memory (sysmem) for atomic CAS that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_atom_dot_cas_lookup_miss","# of LTS sectors from node GPC accessing system memory (sysmem) for atomic CAS that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_atom_lookup_hit","# of LTS sectors from node GPC accessing system memory (sysmem) for all atomics that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_atom_lookup_miss","# of LTS sectors from node GPC accessing system memory (sysmem) for all atomics that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_membar","# of LTS sectors from node GPC accessing system memory (sysmem) for memory barriers","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_membar_lookup_hit","# of LTS sectors from node GPC accessing system memory (sysmem) for memory barriers that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_membar_lookup_miss","# of LTS sectors from node GPC accessing system memory (sysmem) for memory barriers that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_read","# of LTS sectors from node GPC accessing system memory (sysmem) for reads","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_read_lookup_hit","# of LTS sectors from node GPC accessing system memory (sysmem) for reads that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_read_lookup_miss","# of LTS sectors from node GPC accessing system memory (sysmem) for reads that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_red","# of LTS sectors from node GPC accessing system memory (sysmem) for reductions","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_red_lookup_hit","# of LTS sectors from node GPC accessing system memory (sysmem) for reductions that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_red_lookup_miss","# of LTS sectors from node GPC accessing system memory (sysmem) for reductions that missed","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_write","# of LTS sectors from node GPC accessing system memory (sysmem) for writes","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_write_lookup_hit","# of LTS sectors from node GPC accessing system memory (sysmem) for writes that hit","1","1"
"lts__t_sectors_srcnode_gpc_aperture_sysmem_op_write_lookup_miss","# of LTS sectors from node GPC accessing system memory (sysmem) for writes that missed","1","1"
"lts__t_sectors_srcnode_gpc_lookup_hit","# of LTS sectors from node GPC that hit","1","1"
"lts__t_sectors_srcnode_gpc_lookup_miss","# of LTS sectors from node GPC that missed","1","1"
"lts__t_sectors_srcnode_gpc_op_atom","# of LTS sectors from node GPC for all atomics","1","1"
"lts__t_sectors_srcnode_gpc_op_atom_dot_alu","# of LTS sectors from node GPC for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_srcnode_gpc_op_atom_dot_alu_lookup_hit","# of LTS sectors from node GPC for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_srcnode_gpc_op_atom_dot_alu_lookup_miss","# of LTS sectors from node GPC for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_srcnode_gpc_op_atom_dot_cas","# of LTS sectors from node GPC for atomic CAS","1","1"
"lts__t_sectors_srcnode_gpc_op_atom_dot_cas_lookup_hit","# of LTS sectors from node GPC for atomic CAS that hit","1","1"
"lts__t_sectors_srcnode_gpc_op_atom_dot_cas_lookup_miss","# of LTS sectors from node GPC for atomic CAS that missed","1","1"
"lts__t_sectors_srcnode_gpc_op_atom_lookup_hit","# of LTS sectors from node GPC for all atomics that hit","1","1"
"lts__t_sectors_srcnode_gpc_op_atom_lookup_miss","# of LTS sectors from node GPC for all atomics that missed","1","1"
"lts__t_sectors_srcnode_gpc_op_membar","# of LTS sectors from node GPC for memory barriers","1","1"
"lts__t_sectors_srcnode_gpc_op_membar_lookup_hit","# of LTS sectors from node GPC for memory barriers that hit","1","1"
"lts__t_sectors_srcnode_gpc_op_membar_lookup_miss","# of LTS sectors from node GPC for memory barriers that missed","1","1"
"lts__t_sectors_srcnode_gpc_op_read","# of LTS sectors from node GPC for reads","1","1"
"lts__t_sectors_srcnode_gpc_op_read_lookup_hit","# of LTS sectors from node GPC for reads that hit","1","1"
"lts__t_sectors_srcnode_gpc_op_read_lookup_miss","# of LTS sectors from node GPC for reads that missed","1","1"
"lts__t_sectors_srcnode_gpc_op_red","# of LTS sectors from node GPC for reductions","1","1"
"lts__t_sectors_srcnode_gpc_op_red_lookup_hit","# of LTS sectors from node GPC for reductions that hit","1","1"
"lts__t_sectors_srcnode_gpc_op_red_lookup_miss","# of LTS sectors from node GPC for reductions that missed","1","1"
"lts__t_sectors_srcnode_gpc_op_write","# of LTS sectors from node GPC for writes","1","1"
"lts__t_sectors_srcnode_gpc_op_write_lookup_hit","# of LTS sectors from node GPC for writes that hit","1","1"
"lts__t_sectors_srcnode_gpc_op_write_lookup_miss","# of LTS sectors from node GPC for writes that missed","1","1"
"lts__t_sectors_srcunit_l1","# of LTS sectors from unit L1","1","1"
"lts__t_sectors_srcunit_l1_aperture_device","# of LTS sectors from unit L1 accessing device memory (vidmem)","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_lookup_hit","# of LTS sectors from unit L1 accessing device memory (vidmem) that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_lookup_miss","# of LTS sectors from unit L1 accessing device memory (vidmem) that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_atom","# of LTS sectors from unit L1 accessing device memory (vidmem) for all atomics","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_alu","# of LTS sectors from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_alu_lookup_hit","# of LTS sectors from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_alu_lookup_miss","# of LTS sectors from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_cas","# of LTS sectors from unit L1 accessing device memory (vidmem) for atomic CAS","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_cas_lookup_hit","# of LTS sectors from unit L1 accessing device memory (vidmem) for atomic CAS that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_cas_lookup_miss","# of LTS sectors from unit L1 accessing device memory (vidmem) for atomic CAS that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_atom_lookup_hit","# of LTS sectors from unit L1 accessing device memory (vidmem) for all atomics that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_atom_lookup_miss","# of LTS sectors from unit L1 accessing device memory (vidmem) for all atomics that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_membar","# of LTS sectors from unit L1 accessing device memory (vidmem) for memory barriers","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_membar_lookup_hit","# of LTS sectors from unit L1 accessing device memory (vidmem) for memory barriers that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_membar_lookup_miss","# of LTS sectors from unit L1 accessing device memory (vidmem) for memory barriers that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_read","# of LTS sectors from unit L1 accessing device memory (vidmem) for reads","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_read_lookup_hit","# of LTS sectors from unit L1 accessing device memory (vidmem) for reads that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_read_lookup_miss","# of LTS sectors from unit L1 accessing device memory (vidmem) for reads that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_red","# of LTS sectors from unit L1 accessing device memory (vidmem) for reductions","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_red_lookup_hit","# of LTS sectors from unit L1 accessing device memory (vidmem) for reductions that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_red_lookup_miss","# of LTS sectors from unit L1 accessing device memory (vidmem) for reductions that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_write","# of LTS sectors from unit L1 accessing device memory (vidmem) for writes","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_write_lookup_hit","# of LTS sectors from unit L1 accessing device memory (vidmem) for writes that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_device_op_write_lookup_miss","# of LTS sectors from unit L1 accessing device memory (vidmem) for writes that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer","# of LTS sectors from unit L1 accessing peer memory (peermem)","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_lookup_hit","# of LTS sectors from unit L1 accessing peer memory (peermem) that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_lookup_miss","# of LTS sectors from unit L1 accessing peer memory (peermem) that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_atom","# of LTS sectors from unit L1 accessing peer memory (peermem) for all atomics","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_alu","# of LTS sectors from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_alu_lookup_hit","# of LTS sectors from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_alu_lookup_miss","# of LTS sectors from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas","# of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas_lookup_hit","# of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas_lookup_miss","# of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_atom_lookup_hit","# of LTS sectors from unit L1 accessing peer memory (peermem) for all atomics that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_atom_lookup_miss","# of LTS sectors from unit L1 accessing peer memory (peermem) for all atomics that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_membar","# of LTS sectors from unit L1 accessing peer memory (peermem) for memory barriers","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_membar_lookup_hit","# of LTS sectors from unit L1 accessing peer memory (peermem) for memory barriers that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_membar_lookup_miss","# of LTS sectors from unit L1 accessing peer memory (peermem) for memory barriers that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_read","# of LTS sectors from unit L1 accessing peer memory (peermem) for reads","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_read_lookup_hit","# of LTS sectors from unit L1 accessing peer memory (peermem) for reads that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_read_lookup_miss","# of LTS sectors from unit L1 accessing peer memory (peermem) for reads that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_red","# of LTS sectors from unit L1 accessing peer memory (peermem) for reductions","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_red_lookup_hit","# of LTS sectors from unit L1 accessing peer memory (peermem) for reductions that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_red_lookup_miss","# of LTS sectors from unit L1 accessing peer memory (peermem) for reductions that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_write","# of LTS sectors from unit L1 accessing peer memory (peermem) for writes","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_write_lookup_hit","# of LTS sectors from unit L1 accessing peer memory (peermem) for writes that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_peer_op_write_lookup_miss","# of LTS sectors from unit L1 accessing peer memory (peermem) for writes that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem","# of LTS sectors from unit L1 accessing system memory (sysmem)","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_lookup_hit","# of LTS sectors from unit L1 accessing system memory (sysmem) that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_lookup_miss","# of LTS sectors from unit L1 accessing system memory (sysmem) that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom","# of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_alu","# of LTS sectors from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_alu_lookup_hit","# of LTS sectors from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_alu_lookup_miss","# of LTS sectors from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_cas","# of LTS sectors from unit L1 accessing system memory (sysmem) for atomic CAS","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_cas_lookup_hit","# of LTS sectors from unit L1 accessing system memory (sysmem) for atomic CAS that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_cas_lookup_miss","# of LTS sectors from unit L1 accessing system memory (sysmem) for atomic CAS that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_lookup_hit","# of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_lookup_miss","# of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_membar","# of LTS sectors from unit L1 accessing system memory (sysmem) for memory barriers","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_membar_lookup_hit","# of LTS sectors from unit L1 accessing system memory (sysmem) for memory barriers that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_membar_lookup_miss","# of LTS sectors from unit L1 accessing system memory (sysmem) for memory barriers that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_read","# of LTS sectors from unit L1 accessing system memory (sysmem) for reads","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_read_lookup_hit","# of LTS sectors from unit L1 accessing system memory (sysmem) for reads that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_read_lookup_miss","# of LTS sectors from unit L1 accessing system memory (sysmem) for reads that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_red","# of LTS sectors from unit L1 accessing system memory (sysmem) for reductions","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_red_lookup_hit","# of LTS sectors from unit L1 accessing system memory (sysmem) for reductions that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_red_lookup_miss","# of LTS sectors from unit L1 accessing system memory (sysmem) for reductions that missed","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_write","# of LTS sectors from unit L1 accessing system memory (sysmem) for writes","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_write_lookup_hit","# of LTS sectors from unit L1 accessing system memory (sysmem) for writes that hit","1","1"
"lts__t_sectors_srcunit_l1_aperture_sysmem_op_write_lookup_miss","# of LTS sectors from unit L1 accessing system memory (sysmem) for writes that missed","1","1"
"lts__t_sectors_srcunit_l1_lookup_hit","# of LTS sectors from unit L1 that hit","1","1"
"lts__t_sectors_srcunit_l1_lookup_miss","# of LTS sectors from unit L1 that missed","1","1"
"lts__t_sectors_srcunit_l1_op_atom","# of LTS sectors from unit L1 for all atomics","1","1"
"lts__t_sectors_srcunit_l1_op_atom_dot_alu","# of LTS sectors from unit L1 for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_srcunit_l1_op_atom_dot_alu_lookup_hit","# of LTS sectors from unit L1 for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_srcunit_l1_op_atom_dot_alu_lookup_miss","# of LTS sectors from unit L1 for atomic ALU (non-CAS) that missed","1","1"
